"code","oop_poorest","oop_poorer","oop_middle","oop_richer","oop_richest"
"AFG",0.3395,0.1671,0.1258,0.1147,0.1351
"AFG",0.3236,0.1527,0.1249,0.1088,0.1253
"AFG",0.3179,0.161,0.123,0.1089,0.1283
"AFG",0.3352,0.1619,0.1296,0.1139,0.1348
"AFG",0.3337,0.1627,0.1302,0.1162,0.1294
"AFG",0.3253,0.1496,0.12,0.0966,0.1279
"AFG",0.3412,0.162,0.1348,0.1095,0.1367
"AFG",0.3328,0.159,0.1361,0.1117,0.1332
"AFG",0.3372,0.1598,0.131,0.1173,0.1346
"AFG",0.3395,0.1607,0.1292,0.1082,0.1364
"AFG",0.3351,0.1664,0.1304,0.1082,0.1298
"AFG",0.3234,0.152,0.1289,0.1108,0.1275
"AFG",0.3477,0.1705,0.1372,0.1195,0.1439
"AFG",0.3329,0.1545,0.1308,0.1141,0.1267
"AFG",0.3337,0.1469,0.1332,0.1104,0.1302
"AFG",0.3458,0.1641,0.1341,0.1064,0.1342
"AFG",0.3442,0.1672,0.1453,0.1103,0.1271
"AFG",0.3302,0.163,0.1239,0.1035,0.1301
"AFG",0.3404,0.1672,0.1329,0.11,0.1234
"AFG",0.3287,0.1622,0.129,0.1112,0.1279
"AFG",0.3271,0.1465,0.1238,0.1117,0.1347
"AFG",0.3389,0.1602,0.1307,0.1131,0.1379
"AFG",0.3321,0.1674,0.1299,0.1034,0.1373
"AFG",0.3337,0.1692,0.1224,0.1084,0.1286
"AFG",0.3278,0.1656,0.124,0.1069,0.1385
"AFG",0.334,0.1708,0.1285,0.1109,0.1342
"AFG",0.3338,0.1614,0.1347,0.118,0.1367
"AFG",0.3309,0.169,0.1287,0.1168,0.1391
"AFG",0.3366,0.1578,0.1397,0.1121,0.1356
"AFG",0.334,0.1584,0.1338,0.1147,0.1267
"AFG",0.327,0.1586,0.1277,0.1125,0.1333
"AFG",0.3209,0.1577,0.1258,0.0993,0.1198
"AFG",0.3504,0.1575,0.1302,0.1145,0.1416
"AFG",0.3222,0.1523,0.1253,0.1152,0.1357
"AFG",0.3273,0.1501,0.1181,0.1024,0.1243
"AFG",0.3371,0.1632,0.1364,0.1078,0.1251
"AFG",0.3411,0.171,0.1318,0.1161,0.148
"AFG",0.3397,0.1599,0.1329,0.1143,0.1299
"AFG",0.3205,0.1633,0.1311,0.1034,0.1154
"AFG",0.3352,0.1641,0.1264,0.1128,0.1323
"AFG",0.3273,0.1485,0.1174,0.0981,0.1272
"AFG",0.3316,0.1628,0.1278,0.1072,0.1307
"AFG",0.3237,0.1476,0.127,0.1047,0.1265
"AFG",0.3333,0.1681,0.1217,0.1112,0.1276
"AFG",0.3354,0.1616,0.1325,0.1129,0.1317
"AFG",0.3401,0.1601,0.1266,0.105,0.1372
"AFG",0.3327,0.1603,0.1313,0.1135,0.1323
"AFG",0.3313,0.1563,0.1408,0.1077,0.1428
"AFG",0.3432,0.1473,0.1268,0.1209,0.1317
"AFG",0.3231,0.1716,0.1372,0.1131,0.1314
"AFG",0.3157,0.1549,0.1291,0.1054,0.123
"AFG",0.3347,0.1562,0.1239,0.1082,0.1344
"AFG",0.3257,0.1568,0.1312,0.1032,0.1268
"AFG",0.34,0.1535,0.1402,0.1178,0.1358
"AFG",0.3354,0.1579,0.1299,0.1092,0.1287
"AFG",0.3363,0.1602,0.1288,0.1031,0.1211
"AFG",0.3355,0.1587,0.128,0.1178,0.1383
"AFG",0.3286,0.1569,0.1228,0.1083,0.1335
"AFG",0.3383,0.1641,0.126,0.1087,0.1349
"AFG",0.3356,0.162,0.13,0.1048,0.1325
"AFG",0.334,0.1575,0.1278,0.1032,0.1254
"AFG",0.3333,0.1689,0.1295,0.1096,0.1277
"AFG",0.3465,0.172,0.1378,0.116,0.1274
"AFG",0.3419,0.1631,0.1306,0.1039,0.1304
"AFG",0.3363,0.1619,0.1312,0.1125,0.128
"AFG",0.349,0.1783,0.1374,0.1085,0.1429
"AFG",0.3367,0.162,0.1359,0.1196,0.1428
"AFG",0.3248,0.1492,0.1309,0.1066,0.1348
"AFG",0.3445,0.1597,0.1323,0.1175,0.1258
"AFG",0.3359,0.1624,0.1362,0.113,0.1384
"AFG",0.3356,0.1592,0.1218,0.1069,0.1344
"AFG",0.3377,0.1646,0.1337,0.1097,0.1316
"AFG",0.346,0.1514,0.1291,0.1087,0.1372
"AFG",0.3373,0.1653,0.124,0.1062,0.1345
"AFG",0.3367,0.1603,0.1321,0.1054,0.1445
"AFG",0.3371,0.1643,0.1327,0.1157,0.1195
"AFG",0.3445,0.1678,0.1329,0.1051,0.1375
"AFG",0.3319,0.1661,0.1328,0.118,0.1315
"AFG",0.3263,0.154,0.1342,0.1109,0.1302
"AFG",0.3558,0.1576,0.1351,0.1086,0.1465
"AFG",0.3429,0.1691,0.1302,0.112,0.1269
"AFG",0.3451,0.1521,0.1358,0.1117,0.1393
"AFG",0.3484,0.1578,0.1309,0.1091,0.1423
"AFG",0.3345,0.1606,0.1353,0.118,0.1362
"AFG",0.3394,0.1597,0.1363,0.1084,0.1268
"AFG",0.3322,0.1561,0.1278,0.1165,0.1374
"AFG",0.3475,0.1489,0.1219,0.1075,0.1343
"AFG",0.3253,0.1613,0.1278,0.106,0.1255
"AFG",0.3175,0.1591,0.1254,0.1042,0.1344
"AFG",0.3295,0.1524,0.1292,0.1145,0.1227
"AFG",0.3364,0.1596,0.1362,0.1069,0.1385
"AFG",0.3244,0.1678,0.1274,0.1125,0.1368
"AFG",0.3283,0.1596,0.1242,0.1118,0.1285
"AFG",0.3322,0.1615,0.1284,0.1131,0.1248
"AFG",0.3237,0.1595,0.1191,0.1043,0.1201
"AFG",0.344,0.1576,0.135,0.116,0.1334
"AFG",0.3371,0.1533,0.133,0.1151,0.1266
"AFG",0.3389,0.1663,0.1286,0.1128,0.1389
"AFG",0.3356,0.1446,0.122,0.1017,0.1253
"AFG",0.3401,0.1727,0.1299,0.1067,0.1213
"AFG",0.3296,0.158,0.1161,0.1052,0.1299
"AFG",0.3312,0.1667,0.1226,0.1109,0.1351
"AFG",0.3262,0.1442,0.128,0.1083,0.1339
"AFG",0.3291,0.1441,0.1217,0.0983,0.1268
"AFG",0.3247,0.1566,0.1223,0.1078,0.1306
"AFG",0.3395,0.1625,0.1355,0.1131,0.1428
"AFG",0.3419,0.1652,0.1332,0.1174,0.1358
"AFG",0.3369,0.1566,0.1254,0.1078,0.1271
"AFG",0.3325,0.1486,0.1226,0.1051,0.1335
"AFG",0.3522,0.1684,0.1419,0.1281,0.1516
"AFG",0.3263,0.1607,0.126,0.1164,0.143
"AFG",0.3388,0.1718,0.1295,0.1142,0.141
"AFG",0.3289,0.1729,0.1208,0.1036,0.1332
"AFG",0.3402,0.1772,0.1402,0.1151,0.1327
"AFG",0.3279,0.1682,0.1348,0.1177,0.1308
"AFG",0.3441,0.1615,0.1316,0.1093,0.1314
"AFG",0.3348,0.1695,0.1393,0.117,0.1451
"AFG",0.3554,0.1704,0.1391,0.1238,0.1457
"AFG",0.3353,0.1637,0.1241,0.1088,0.1153
"AFG",0.3266,0.1633,0.1306,0.1046,0.1263
"AFG",0.3214,0.1562,0.1186,0.0989,0.1296
"AFG",0.3432,0.1577,0.1219,0.1155,0.1214
"AFG",0.3446,0.1595,0.1353,0.112,0.1335
"AFG",0.3406,0.1689,0.129,0.1044,0.1405
"AFG",0.3342,0.1629,0.1233,0.1104,0.1283
"AFG",0.327,0.1583,0.1226,0.1046,0.121
"AFG",0.3333,0.1511,0.1304,0.1047,0.1347
"AFG",0.3362,0.15,0.1252,0.1053,0.1296
