country,code,region,income,GDPpc,pop_scen_usaid,pop_scen_usaid_USA_expcut,pop_scen_usaid_USA,pop_scen_usaid_gf_expcut_noNGO,pop_scen_usaid_gf,cc_scen_usaid,cc_scen_usaid_USA_expcut,cc_scen_usaid_USA,cc_scen_usaid_gf_expcut_noNGO,cc_scen_usaid_gf
Sri Lanka,LKA,SEAR,LMIC,3827.96,575930.7077,575928.3385,575928.1554,575927.5824,575923.6809,0,0.00382147,0.004117399,0.005043887,0.011371536
Lesotho,LSO,AFR,LMIC,916.28,68481.41349,68463.62183,68462.23757,68457.89965,68428.03309,0,0.006041455,0.006512523,0.007989779,0.018195945
Morocco,MAR,EMR,LMIC,3771.45,1092957.788,1092957.788,1092957.788,1092957.788,1092957.788,0,0,0,0,0
Moldova,MDA,EUR,UMIC,6729.41,80928.95938,80927.98597,80927.90744,80927.65826,80925.82104,0,0.022342508,0.024165611,0.029967989,0.073696384
Madagascar,MDG,AFR,LIC,506.16,1070632.707,1069760.524,1069671.363,1069363.95,1064776.146,0,0.116852533,0.129009259,0.171182611,0.814113769
Mexico,MEX,AMR,UMIC,13790.02,3600126.84,3600126.84,3600126.84,3600126.84,3600126.84,0,0,0,0,0
Myanmar,MMR,SEAR,LMIC,1233.2,1512541.333,1509561.789,1509286.873,1508375.949,1499153.482,0.045376711,0.152739745,0.162350609,0.193850918,0.486265586
Mongolia,MNG,WPR,UMIC,5838.63,104280.6085,104278.7094,104278.5639,104278.1098,104275.0656,0,0.005952004,0.00640783,0.007829705,0.017350516
Mozambique,MOZ,AFR,LIC,622.99,1263298.494,1262398.86,1262312.367,1262021.557,1258727.28,0.102859894,0.210559474,0.220767031,0.25486493,0.611062679
Mauritania,MRT,AFR,LMIC,2120.82,179537.3467,179502.3411,179498.7351,179486.2527,179285.8948,0,0.094130821,0.104061612,0.138771081,0.759879325
Malawi,MWI,AFR,LIC,602.34,757607.6411,757550.657,757545.9717,757531.0322,757416.3788,0.046182971,0.074174107,0.076513155,0.084009281,0.143467172
Malaysia,MYS,WPR,UMIC,11379.09,996988.8008,996988.8008,996988.8008,996988.8008,996988.8008,0,0,0,0,0
Namibia,NAM,AFR,UMIC,4168.29,83464.57574,83460.61092,83460.30673,83459.35757,83452.97651,0,0.006318959,0.006804887,0.008322367,0.018561246
Niger,NER,AFR,LIC,642.94,1191374.802,1191306.01,1191299.31,1191276.638,1190997.217,0,0.071123622,0.078219415,0.10244586,0.427587632
Nigeria,NGA,AFR,LMIC,1596.64,7880050.344,7874989.261,7874514.424,7872931.273,7856058.786,0.061908964,0.149107568,0.157326102,0.184758431,0.476544283
Nepal,NPL,SEAR,LMIC,1377.63,902656.2757,902362.1956,902337.8528,902260.0812,901656.2847,0,0.030294268,0.032811026,0.040860386,0.103740223
Pakistan,PAK,EMR,LMIC,1365.28,7996810.905,7991219.583,7990641.044,7988639.293,7958845.358,0.000599044,0.13698637,0.151116793,0.199935695,0.871882974
Peru,PER,AMR,UMIC,7906.59,1006087.877,1006074.804,1006073.807,1006070.7,1006050.03,0,0.002921551,0.003144559,0.003839714,0.008470782
Philippines,PHL,WPR,LMIC,3804.87,3635903.774,3635259.154,3635206.462,3635038.794,3633771.758,0.028419609,0.05081517,0.052638562,0.058432977,0.101815203
Papua New Guinea,PNG,WPR,LMIC,2957.68,332938.1278,332747.3683,332729.7344,332671.3048,332085.8234,0,0.107734171,0.117509581,0.149678437,0.455324616
Paraguay,PRY,AMR,UMIC,6276.35,204304.9827,204304.8632,204304.8542,204304.826,204304.6394,0,0.001057891,0.001138206,0.00138817,0.003044146
Sudan,SDN,EMR,LIC,2183.44,1728872.359,1728544.98,1728513.905,1728409.734,1727214.354,0,0.090244862,0.099005855,0.128614533,0.492908676
Senegal,SEN,AFR,LMIC,1706.44,651041.495,650990.6506,650986.3955,650972.751,650864.0582,0,0.027371899,0.029679968,0.037098662,0.097109747
El Salvador,SLV,AMR,UMIC,5391.07,171935.6616,171934.7591,171934.6877,171934.4627,171932.8654,0,0.00802967,0.00866701,0.010676643,0.025027759
Suriname,SUR,AMR,UMIC,5494.07,17811.29685,17811.24264,17811.23838,17811.22495,17811.13003,0,0.007169289,0.007737132,0.009528798,0.022323536
Eswatini,SWZ,AFR,LMIC,3610.61,37145.30317,37132.25385,37131.08974,37127.27351,37091.25507,0.044747623,0.10469307,0.110202921,0.128449302,0.313934779
Syrian Arab Republic,SYR,EMR,LIC,1051.67,859188.2628,859186.366,859186.1635,859185.4531,859172.6153,0,0.093660042,0.104068694,0.141211105,0.960870765
Chad,TCD,AFR,LIC,680.64,709408.2969,709114.198,709085.8273,708990.1528,707836.0628,0,0.092823269,0.101941573,0.132892743,0.525983066
Thailand,THA,SEAR,UMIC,7182.03,1840690.411,1840627.335,1840622.295,1840606.372,1840491.203,0,0.008966503,0.009686188,0.011963409,0.028580577
Tajikistan,TJK,EUR,LMIC,1160.81,332035.5162,332017.6344,332016.1599,332011.4537,331975.1725,0,0.020840808,0.022569266,0.028096225,0.071213152
Timor-Leste,TLS,SEAR,LMIC,1502.52,41867.12926,41822.32252,41817.5996,41801.10062,41512.14566,0,0.097486766,0.107566423,0.142417289,0.632703443
Tunisia,TUN,EMR,LMIC,3977.7,352137.9314,352137.9314,352137.9314,352137.9314,352137.9314,0,0,0,0,0
Ukraine,UKR,EUR,UMIC,5069.7,944743.662,944654.5045,944646.9423,944622.5871,944422.6939,0.018715001,0.052322131,0.055199695,0.064495986,0.142452828
Venezuela,VEN,AMR,UMIC,15943.61,871097.8644,871069.4759,871066.8749,871058.2728,870971.9405,0,0.037126334,0.040584438,0.052088378,0.173287964
Vietnam,VNM,WPR,LMIC,4282.09,2717633.168,2716860.183,2716781.673,2716511.476,2712467.489,0.000977005,0.057788643,0.063621923,0.083778402,0.3943475
Vanuatu,VUT,WPR,LMIC,3515.24,11852.08312,11851.34382,11851.26805,11851.00666,11847.04643,0,0.059571438,0.065811288,0.087530943,0.453390552
Yemen,YEM,EMR,LIC,477.41,1180079.671,1179804.414,1179777.281,1179685.125,1178525.874,0,0.109875676,0.120982233,0.159049375,0.673107598
South Africa,ZAF,AFR,UMIC,6022.54,1761912.347,1761847.268,1761842.269,1761826.66,1761721.559,0.014286614,0.01964777,0.020060862,0.021351943,0.030091348
Zambia,ZMB,AFR,LMIC,1330.73,756265.2123,756144.8064,756134.5243,756101.3386,755825.3034,0.11385364,0.178665438,0.184297987,0.202571513,0.358948836
Zimbabwe,ZWE,AFR,LMIC,2156.03,563715.2609,563584.4534,563573.761,563539.7326,563282.1389,0.112660382,0.150258488,0.153374391,0.163332146,0.240643482
