"code","cc_poorest","cc_poorer","cc_middle","cc_richer","cc_richest"
"AFG",0.9616,0.9585,0.9368,0.9257,0.8716
"AFG",0.9654,0.9588,0.9354,0.9329,0.8825
"AFG",0.9629,0.9579,0.9398,0.9342,0.8805
"AFG",0.9687,0.959,0.9452,0.9307,0.8861
"AFG",0.9664,0.9601,0.9426,0.9402,0.8821
"AFG",0.9686,0.9581,0.9375,0.928,0.8749
"AFG",0.9648,0.9562,0.9368,0.9392,0.8753
"AFG",0.9636,0.9612,0.9442,0.9377,0.8807
"AFG",0.9652,0.9601,0.9362,0.9322,0.8734
"AFG",0.9614,0.9581,0.931,0.9395,0.8815
"AFG",0.9641,0.9633,0.9391,0.9332,0.8751
"AFG",0.9648,0.9608,0.9391,0.935,0.8809
"AFG",0.968,0.9573,0.9382,0.9372,0.881
"AFG",0.9637,0.9605,0.9319,0.934,0.8758
"AFG",0.9646,0.9605,0.9416,0.9313,0.8762
"AFG",0.9635,0.9561,0.9414,0.9331,0.8757
"AFG",0.9681,0.9535,0.9362,0.9365,0.8766
"AFG",0.9665,0.9592,0.9346,0.9363,0.8744
"AFG",0.963,0.9614,0.9376,0.9441,0.8788
"AFG",0.9627,0.955,0.9321,0.9305,0.871
"AFG",0.9656,0.9584,0.9388,0.9365,0.8811
"AFG",0.9669,0.9619,0.9411,0.9403,0.8765
"AFG",0.9638,0.9636,0.9448,0.934,0.8824
"AFG",0.9677,0.9605,0.9418,0.9296,0.8712
"AFG",0.9668,0.9628,0.9407,0.9388,0.8769
"AFG",0.9665,0.9598,0.9426,0.9401,0.8825
"AFG",0.9638,0.9602,0.94,0.9363,0.88
"AFG",0.9648,0.9564,0.9399,0.9374,0.8767
"AFG",0.9633,0.9626,0.9449,0.9388,0.8846
"AFG",0.9643,0.9586,0.9422,0.9304,0.8715
"AFG",0.9656,0.9569,0.9362,0.9407,0.8805
"AFG",0.9656,0.957,0.9366,0.9326,0.8747
"AFG",0.966,0.9616,0.9382,0.941,0.8704
"AFG",0.9642,0.9604,0.9349,0.9319,0.8749
"AFG",0.9685,0.9595,0.9363,0.931,0.881
"AFG",0.9655,0.9601,0.9403,0.9405,0.8827
"AFG",0.965,0.9636,0.9454,0.9423,0.8855
"AFG",0.967,0.9581,0.943,0.9334,0.8707
"AFG",0.9674,0.9592,0.9376,0.9344,0.8766
"AFG",0.965,0.9641,0.9424,0.9359,0.8784
"AFG",0.9601,0.9612,0.945,0.9407,0.8782
"AFG",0.9638,0.9564,0.9372,0.939,0.8775
"AFG",0.964,0.9591,0.9314,0.9277,0.8678
"AFG",0.9647,0.9579,0.9361,0.9385,0.8772
"AFG",0.9645,0.9593,0.9433,0.9385,0.8722
"AFG",0.9656,0.9612,0.9377,0.9382,0.8758
"AFG",0.965,0.9588,0.936,0.9337,0.8695
"AFG",0.9644,0.9551,0.9423,0.9362,0.8715
"AFG",0.9645,0.9569,0.9337,0.9374,0.8655
"AFG",0.9658,0.9565,0.9354,0.9302,0.8678
"AFG",0.9622,0.964,0.9409,0.9353,0.8881
"AFG",0.9629,0.9586,0.9396,0.9362,0.8747
"AFG",0.9679,0.9601,0.9442,0.9451,0.8805
"AFG",0.9634,0.9602,0.9415,0.9373,0.8761
"AFG",0.9644,0.9605,0.9377,0.9372,0.8684
"AFG",0.9647,0.9642,0.9414,0.9379,0.885
"AFG",0.9643,0.9586,0.9391,0.9405,0.8744
"AFG",0.9644,0.9599,0.9422,0.9375,0.8815
"AFG",0.9654,0.9608,0.9407,0.9413,0.8884
"AFG",0.9675,0.9649,0.9423,0.937,0.8796
"AFG",0.9658,0.9588,0.9422,0.9372,0.8745
"AFG",0.9632,0.9589,0.9414,0.9361,0.8713
"AFG",0.9664,0.9601,0.9368,0.9319,0.8797
"AFG",0.9655,0.9607,0.9457,0.9341,0.8859
"AFG",0.9637,0.956,0.9408,0.933,0.8811
"AFG",0.9635,0.9609,0.9392,0.9346,0.8754
"AFG",0.9658,0.9584,0.9384,0.9363,0.8879
"AFG",0.964,0.9546,0.9328,0.9364,0.8744
"AFG",0.9663,0.9633,0.9395,0.9362,0.8846
"AFG",0.9657,0.9647,0.9484,0.9476,0.8809
"AFG",0.9664,0.9589,0.9341,0.9318,0.871
"AFG",0.9658,0.959,0.9369,0.9369,0.8778
"AFG",0.9656,0.957,0.9388,0.9335,0.8798
"AFG",0.9617,0.9644,0.942,0.9312,0.879
"AFG",0.9691,0.9577,0.9322,0.9299,0.8748
"AFG",0.9653,0.9562,0.9335,0.9344,0.8725
"AFG",0.9629,0.9621,0.9376,0.929,0.8709
"AFG",0.9643,0.9573,0.9356,0.9318,0.866
"AFG",0.9624,0.96,0.9362,0.9353,0.8728
"AFG",0.9625,0.9582,0.9386,0.9327,0.8739
"AFG",0.9644,0.9595,0.934,0.9358,0.872
"AFG",0.9652,0.9613,0.9407,0.9354,0.8735
"AFG",0.9653,0.9633,0.9362,0.9356,0.8797
"AFG",0.9617,0.9616,0.9409,0.9355,0.8799
"AFG",0.9628,0.9607,0.9382,0.9392,0.8765
"AFG",0.9663,0.9564,0.9378,0.9351,0.8788
"AFG",0.9647,0.9619,0.9434,0.9379,0.8798
"AFG",0.9579,0.9587,0.9322,0.9424,0.8781
"AFG",0.9622,0.9549,0.9416,0.9395,0.8812
"AFG",0.9683,0.9577,0.9383,0.9418,0.8834
"AFG",0.967,0.9622,0.9422,0.9368,0.8822
"AFG",0.9632,0.9596,0.94,0.9312,0.8793
"AFG",0.9653,0.9575,0.9399,0.9396,0.8779
"AFG",0.97,0.9644,0.9452,0.937,0.8773
"AFG",0.9613,0.9619,0.9358,0.9426,0.8762
"AFG",0.9626,0.9622,0.9388,0.9396,0.8779
"AFG",0.9638,0.9598,0.9435,0.9294,0.8755
"AFG",0.966,0.9614,0.9426,0.9419,0.8855
"AFG",0.9616,0.9602,0.9356,0.9345,0.872
"AFG",0.9684,0.9613,0.9397,0.9339,0.8835
"AFG",0.9627,0.9548,0.9379,0.9373,0.8667
"AFG",0.9632,0.9628,0.9383,0.9355,0.8779
"AFG",0.9673,0.9634,0.9412,0.9381,0.875
"AFG",0.9629,0.9554,0.9359,0.9312,0.8801
"AFG",0.9671,0.9646,0.9455,0.9373,0.879
"AFG",0.9615,0.9565,0.9343,0.9345,0.8734
"AFG",0.9632,0.959,0.9347,0.9336,0.8782
"AFG",0.9659,0.9602,0.9398,0.9395,0.8682
"AFG",0.967,0.9598,0.9423,0.9387,0.8747
"AFG",0.968,0.9585,0.9398,0.9333,0.8711
"AFG",0.9656,0.9607,0.9329,0.9273,0.8772
"AFG",0.9653,0.9609,0.9388,0.9366,0.8773
"AFG",0.9648,0.9626,0.9463,0.936,0.8658
"AFG",0.9668,0.952,0.9371,0.9328,0.8692
"AFG",0.965,0.9563,0.9361,0.9325,0.8739
"AFG",0.9633,0.9609,0.9347,0.9377,0.871
"AFG",0.9655,0.9588,0.9409,0.9351,0.8787
"AFG",0.9673,0.9608,0.9354,0.9307,0.8751
"AFG",0.9635,0.9599,0.9337,0.9242,0.8726
"AFG",0.9647,0.9598,0.9404,0.9407,0.8799
"AFG",0.9644,0.9597,0.9334,0.9394,0.8728
"AFG",0.9678,0.9624,0.9402,0.9336,0.8732
"AFG",0.9652,0.9544,0.9367,0.935,0.8792
"AFG",0.9661,0.9583,0.9393,0.9358,0.8757
"AFG",0.964,0.9603,0.9412,0.9374,0.8688
"AFG",0.9641,0.9563,0.9287,0.9257,0.8676
"AFG",0.9611,0.9588,0.9342,0.9302,0.8759
"AFG",0.9656,0.9564,0.9362,0.9349,0.8699
"AFG",0.9661,0.9588,0.9421,0.9354,0.8745
"AFG",0.9672,0.9593,0.9385,0.9363,0.8763
"AFG",0.9638,0.9588,0.9354,0.9363,0.8774
"AFG",0.9658,0.965,0.9429,0.929,0.8834
"AFG",0.9644,0.9588,0.9406,0.9295,0.8694
"AFG",0.9661,0.9612,0.9404,0.9387,0.8788
"AFG",0.9632,0.9583,0.9372,0.9303,0.8721
"AFG",0.9647,0.9547,0.9378,0.9374,0.878
"AFG",0.9634,0.9583,0.9367,0.9399,0.8799
"AFG",0.9653,0.9559,0.9373,0.935,0.8806
"AFG",0.9654,0.9614,0.9423,0.9352,0.8807
"AFG",0.97,0.9657,0.9422,0.936,0.8778
"AFG",0.9633,0.9602,0.9429,0.9409,0.8845
"AFG",0.964,0.958,0.9397,0.939,0.8718
"AFG",0.9675,0.9582,0.9388,0.9391,0.8806
