uid,nhits,chi,eta,j1A0,j2A0,j3A0,j4A0,musTB,multiplier,phiS,pR,pT,rho,sageA15,sigma,t,theta,zeta
017c11e6bc0b49715351397cd3518a46,8,0.126741147908099,0.975083329325321,0.195914684931152,0.621937436794842,0.821284662876364,0.208489320364046,0.00321781556253366,1.19629441735074,0.0270891538299413,0.605602505089594,0.000293483598106713,0.0648727135666058,0.709626523445032,0.000159419713849743,0.692030298579483,0.071083348172617,1.39736973038553
0103d8b731c9e3e91f5b010bbc0b269f,8,0.116355798669481,0.923909059734107,0.27261396730067,0.0501721290922347,0.354940638176648,0.296744979964699,0.0846833519516429,0.501527218214971,0.0429078473897748,0.622633313174291,0.000411529249161445,0.0448439835267566,0.242930408238014,0.000710947511875797,0.685126072861731,0.0782977290664867,1.33413198450768
d1ae09a47c80dd58ceded519622ad791,8,0.105824539268353,0.748497575092857,0.344505158451245,0.296256649387138,0.967652974548777,0.189614678147326,0.106482491698054,0.780047788798634,0.0401044284538407,0.696045964275342,0.00036846373718231,0.0448210803833909,0.0981094531778016,0.000421244020696043,0.645754278224373,0.0878249919134911,1.01640681933768
0a04e4acbb2b304fff22cc3c45529e10,8,0.148285130944831,0.949063028184765,0.565414323250979,0.160183967436229,0.773278411076959,0.323692279071487,0.0877919711914837,1.40448238034378,0.0268714334457139,0.628243028228017,0.000422980522685501,0.0482271110176067,0.259700338071635,0.000785809237435956,0.627208151817966,0.0850265702419725,1.80012196208289
b5926e24fca659cf9dff1cf1e3a768da,8,0.102547649834615,0.749316738430198,0.285374862024223,0.120509166719567,0.544085557825566,0.341471377262495,0.0680991074966466,1.65686814240315,0.0435806162078431,0.759772270859976,0.000274714962290548,0.0657048584463156,0.286193229771794,0.000526575570324345,0.732948790124103,0.10033437250247,0.752083869491141
dd46c10721e7d06bef79c874995958bd,8,0.150705871998368,0.995502047674986,0.612505946686313,0.812888729763902,0.144113901773149,0.376529515294981,0.096682402924676,0.0909845730849398,0.0442251448484855,0.739701719591985,0.000370650811971006,0.063778786789338,0.258701158320422,0.000287701619453083,0.923812536276935,0.0970486448014865,1.60856494662359
89a15620bd1595c70181fd83cf7a020b,8,0.128048276868373,0.854166873963756,0.81635168577969,0.81124060548301,0.554169827348361,0.160207684817355,0.119577721670067,0.802104619138109,0.0448276598615058,0.728295274753134,0.000454230815165353,0.0372962806509121,0.0871989693957114,0.000595500738545524,0.886819111080449,0.082749403897851,0.911975903545909
09632d12e59d4b02c3165e034759b8a2,8,0.152260344337331,0.947119749859341,0.200659019251884,0.510424817726958,0.528393969079392,0.285959162564355,0.0542191323868543,0.966070643960144,0.0371475080939586,0.619878371091785,0.000314651327350555,0.0676430877065578,0.887380380627267,0.00101673699385054,0.798330435452304,0.0992131232141733,1.25422810495517
91eeb9aa197288efc3353ee0a11b2f21,8,0.101142511014442,0.869770531364863,0.277511034391027,0.174241405533342,0.435013899076576,0.175186071957517,0.153522739084245,1.10810927295539,0.0285626986435237,0.689548098764113,0.000435651380295236,0.0509548698405328,0.241933962559578,0.000941005949386762,0.916625989685872,0.0734379794105749,1.21190478501803
550ae1915f025f2d5f29b3fb3c9cfee0,8,0.108562731884698,0.960582672118026,0.324065851708277,0.702125256059328,0.682762730898822,0.272566083479306,0.0250936833736438,0.91214738404405,0.038518503139135,0.602470091095987,0.000299024816987194,0.0455205021628632,0.965401951230553,0.000960495608219865,0.653367281681512,0.107436194122048,0.914913540674912
