uid,nhits,alphaH,ARTmulART1,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,musTB,multiplier,phiS,pR,progmul,pT,rho,sageA15,sigma,t,theta,zeta
ff88044a4f4edd97f7f28eb27b3fc5e8,11,5071.54800383685,0.4088910986804,0.175786790859179,0.459327406243897,0.521412817668348,0.600379144085223,0.233866616709008,0.307649087884725,0.168296315536012,181.780914737869,0.154668751681394,0.785887711120596,0.0366252727117122,0.818979406286485,8.8667893058261,0.00024412181237308,0.00910348746322747,0.918418158992364,0.000314671387173344,0.865223697396723,0.0881488725830448,0.764710661198545
353b3a85b1a95fe2b806bd3d1d53dd85,11,4290.091287844,0.321131450069992,0.184570753351259,0.352196633356819,0.364580658951301,0.77442818942324,0.747330778768596,0.473997242359814,0.137295980448291,203.253295458032,0.131814313651591,0.245962548392736,0.031723534143831,0.688500813170878,10.922622287608,0.000214086859555013,0.00588977808067469,0.821875149438657,0.000534740128426773,0.789934280998332,0.0974713037230458,0.753247903331477
9007a9199a9a7a722850c768ba802ee2,11,4822.96305868014,0.316069671607483,0.137582006891706,0.552850090836083,0.517659800206214,0.542202363826691,0.919081730155729,0.229734059350032,0.147998861226482,181.582675059194,0.153194999124156,1.72338850276986,0.0411680289563947,0.676062189733124,8.99161102721842,0.00023697977432006,0.00701344764630884,0.932895352275965,0.000602876744544014,0.796965041736783,0.0817768495182444,0.267481697364223
ee5f61a641bc82b9994fd706ba92a8cc,11,5039.56838120078,0.32289157855602,0.140971719050725,0.257773114991778,0.955661381506417,0.29952864138171,0.4851339559474,0.445342404819306,0.152218212855334,183.093695801164,0.122307275627198,1.37673685946825,0.0377716761990709,0.843050248605057,13.7067785500779,0.000160589794991551,0.0111719877359248,0.738287858230309,0.000334818850719577,0.693659304654438,0.0900969455063162,0.130452968044337
57c9fafd29913c0d61aff62906484bca,11,5141.61862931177,0.32687073355836,0.175708866570135,0.303059536828714,0.265195615077882,0.559190933718723,0.311722049543711,0.638647663996577,0.135882194348599,148.193584001687,0.156269513404327,0.894702839804512,0.0414486260045959,0.678378248871106,12.027842259763,0.000221602577265219,0.0134897927263829,0.791940101762615,0.00043369217030398,0.67443143138366,0.0789255099713022,0.916508040027948
a764d14b80f58733f3b79b5d130b3de6,11,6949.84020781256,0.372039475610458,0.161665585031778,0.358045377366374,0.612298023328878,0.301604344578006,0.762825550954677,0.380755917708397,0.142083431168716,174.072772277136,0.114965426818198,0.205950501675625,0.0260673125379579,0.73101476494789,10.0099519867314,0.000191681320735172,0.00793861018157474,0.960793712774844,0.00110402274224062,0.916092947775248,0.0953379803508889,1.00342711640941
5c05ef1234a7e6c02aea8672f2d349f9,11,5266.51679497614,0.332075057128134,0.159580167006028,0.338309386432967,0.564726600646284,0.752718060751221,0.694839689787215,0.652741219063839,0.0527991335298809,199.56760548914,0.146661459155915,1.31854651623645,0.0365855469257132,0.752547195248704,8.39922870642956,0.000186969075344002,0.0158412966745732,0.950723356813566,0.000459043459456795,0.835783204161095,0.0908191910130465,0.793632975140974
7868dc12c3b29fd11ac9f3f7e6ad0fed,11,6939.35370056482,0.383797028764168,0.13166817159148,0.194371397264609,0.328663333289003,0.579094827799025,0.640285018926775,0.543006070864684,0.123175570532127,121.506196038007,0.11335483344908,0.904218330202817,0.0376862431269677,0.780585108289821,12.0717604878415,0.000164929115638624,0.0140828101013817,0.840311802703517,0.000470777000129347,0.875698530357239,0.0923812615726788,0.5521093616378
0349897883cea4b2bb579735d8b852c3,11,5639.84908356318,0.355070768761244,0.128167899484662,0.237867915288566,0.478203412498569,0.504681465205147,0.730705007467212,0.563628694031023,0.117603844148116,156.114319531795,0.171184928100578,1.76618498847504,0.0346884510653638,0.763598823855516,9.02330241535945,0.000207327376740732,0.00983552195550117,0.762458588347803,0.000508893259372094,0.676501454427246,0.0992224141124065,0.628246151969015
0b3086e16de1ca2da524b324d3b4401f,11,4522.68017055252,0.307043549268186,0.172235568194974,0.22454542455324,0.221471702801782,0.803994502776798,0.300312830193754,0.756960674265896,0.136855725302033,194.887795072956,0.112960285323325,1.51469790982503,0.0447557907088173,0.838368884071319,13.5111254259708,0.000211791569365555,0.00573749140644214,0.813607714752661,0.000299723677438799,0.773793756983167,0.0990531260125496,0.237239250117502
