uid,nhits,chi,eta,j1A0,j2A0,j3A0,j4A0,musTB,multiplier,phiS,pR,pT,rho,sageA15,sigma,t,theta,zeta
d16677d44d4d97568196eada2d8ce763,8,0.150112715988917,0.611735315245222,0.564461584018102,0.461329681277138,0.02156669336568,0.495994230186776,0.0528439179230754,0.94876746896213,0.0363390911620069,0.799947245812094,0.000270444632901968,0.00737278735518506,0.272859097758554,0.000917430201472069,0.859260359887097,0.110702580383164,0.315945619376837
964cbd0240277cb684c9e8d3dd00e3d1,8,0.145640722760971,0.664401857783022,0.160553531438687,0.73101238892881,0.459156236551821,0.59553641645401,0.0376570743172381,0.163924106201176,0.0297497965161957,0.804502253863573,0.000318545753717678,0.0127161217325216,0.327568098686486,0.000934858924504791,0.765527224629119,0.07944442436923,0.709267745746748
8727d9c381b5eac8486c6790fad7dedd,8,0.169828313510761,0.962656591412742,0.676856268327837,0.548849907320862,0.850371417524655,0.71614607075218,0.0658502768702176,1.2522306888891,0.042021268284871,0.624289622474646,0.000267215533770711,0.0174347784431853,0.278626650214686,0.000852257206252287,0.824384094139647,0.0967043685652911,0.271211607251573
7a8dddf98fa90d7f12f9c3498073a533,8,0.115173174306346,0.602446195470646,0.869665820764905,0.483397597397767,0.652695807382885,0.850228670093144,0.138550444751833,1.36639332661517,0.0379775570074277,0.817194452476731,0.000260022109890646,0.0124291697575587,0.158969274290403,0.00102680618331503,0.989400494537304,0.0827650412150869,0.68672084481243
f87df645ce50d1d5f693ac154f75099f,8,0.194672844618494,0.979314921519769,0.900083883788714,0.779504625056631,0.234967709131152,0.58604771612277,0.128822939125995,0.436530776753361,0.0430040710778649,0.811109557241635,0.000422668606135603,0.0142304003373025,0.232360656591156,0.000357021459831609,0.726213920341752,0.0846494598162012,1.23626105936199
089a5c86a3e11cd772494f82d78aa57e,8,0.195897247768317,0.84107192496691,0.594846293867792,0.465973682384561,0.225502131660778,0.646654740360947,0.0310411569926326,1.87495101362902,0.0311851286028751,0.642107819923378,0.000403516707655368,0.00585299427764984,0.312821114833579,0.00111712017746154,0.837664699662309,0.0869528605696221,1.11180444312621
cda81f341c73462a34ee930c21672a76,8,0.211257202579107,0.863775419119426,0.347117587715774,0.841351138776843,0.408508137612633,0.486061225668452,0.0443730757281398,0.662340969961219,0.0357760936557284,0.804071233202147,0.000345433313871189,0.00999528329270625,0.297417219938829,0.000754413686098316,0.880919072477432,0.108756340948784,0.643036388885509
c59683ae65ec822be47babde211218bf,8,0.211679977752564,0.855228400666606,0.156643271085991,0.449328329787754,0.896001969185563,0.964953681909392,0.172742249816314,0.881308930054677,0.0338536965540654,0.750676278072111,0.000382161302776823,0.0221001381865477,0.224659366392919,0.000183295290248061,0.800903740740157,0.0859861036841136,0.91548870480892
1d494db01eb26fc71de2faecba4cf45d,8,0.163948539825689,0.850925539659432,0.192988815755919,0.612348955814035,0.458491589482891,0.340766130761473,0.0979373235995386,1.6281822875201,0.0367953513458486,0.629104403227277,0.000368067208926825,0.00824911631676694,0.246409336015214,0.000888100621268103,0.793564460569045,0.0830791863169729,0.526547829695857
df69766f33e8cb788dcae70f806149dc,8,0.159305768996768,0.70189137026116,0.90700605646565,0.526344538925007,0.366934093225487,0.582747599652925,0.0942085089693245,0.702245619693701,0.0371221491112162,0.845161046353836,0.000312378227688582,0.00926913774653087,0.187122137762194,0.000823519088691012,0.632302613568666,0.102882431450841,0.847235350504006
