uid,nhits,chi,eta,j1A0,j2A0,j3A0,j4A0,musTB,multiplier,phiS,pR,pT,rho,sageA15,sigma,t,theta,zeta
9a58727730ce8bd1f5e22d69c723036d,8,0.148693345209777,0.672819665346856,0.205691038977444,0.446910090676084,0.668386973112578,0.768068295206702,0.0379850745396725,0.256259807722838,0.0458160320586754,0.802935833014346,0.000395664433389267,0.000985710860533916,0.601023289460608,0.000168998593885071,0.878213552632592,0.080262243467838,0.260182217292405
39b21d7028b6ac11222ccaaf32805f7f,8,0.121360209712821,0.98339920494087,0.0309090295148267,0.0607508316343164,0.301940833110095,0.714537431042265,0.0216253812639031,0.918069208909581,0.0354292727381545,0.642304221661132,0.000413566494559171,0.000372089621225631,0.512045297596582,0.000790738310093785,0.853884787703296,0.0719796319906823,0.422241634281818
74133e0dab9d8786dd4920f47355351b,8,0.178468966661655,0.758702727768293,0.96286595698078,0.925863338919264,0.301433651945896,0.898580111524703,0.0587200782513858,1.03314135713302,0.0327618527599649,0.780223523130322,0.000385425967660349,0.00280041147407489,0.469981053901632,0.000503096068116301,0.927895993526475,0.0890146742369015,0.495603620239366
64bbc5af46aa3f20d98f68ada319b489,8,0.131614279239182,0.778820793646773,0.930055139691018,0.460571974725942,0.180304815475726,0.689545817415435,0.0853237969873009,0.48138259415138,0.0380061289463232,0.753730022391811,0.000354849052235738,0.000812041894385654,0.278400075145837,0.000385712769054499,0.823817544175259,0.0960462237671322,0.410216350288857
8b6c005dbb3af1e0481bef4928143667,8,0.217548243807692,0.725348827028228,0.9281377885384,0.663715556256305,0.605115186753375,0.880142524078871,0.0206177610102769,1.80426639696622,0.0463297471412963,0.630044388961114,0.000469391940731427,0.00278024242841248,0.52973072459579,0.000269935358711601,0.805157277639108,0.0850768721147201,0.507282729831251
bdcfefb1d8b57ab51d40b8218c60a179,8,0.134936912772521,0.810167444570884,0.937239953366481,0.834672342874589,0.650196133576392,0.831614060648205,0.085075035148392,1.07820752981078,0.0302613116167876,0.849335251920548,0.000404504291592411,0.00091556757536615,0.368364447769395,0.000936211000580139,0.981328549753364,0.081361544627753,0.609662354469598
8ae0985674be23c962c22c17c3e806ba,8,0.146574597498648,0.721122249358226,0.515119017101858,0.275113566831912,0.915091386425894,0.4057078115736,0.00988354286679795,0.00906945877419341,0.0384920155065083,0.767839558905359,0.000451882464102171,0.000799411080813429,0.480910019472552,0.000530161823937408,0.871811267285116,0.0762556093888856,0.802011556592377
eafc883d63a56f83701355b0c2abf22c,8,0.111196435130903,0.373685164081274,0.157344698881737,0.195653413377877,0.44745196689718,0.826579513497414,0.0161564210841064,0.838639703923907,0.042500440333507,0.690177899021159,0.000310471232752443,0.00121500612471349,0.480305357653601,0.000229531679757183,0.875958766373555,0.0787102580616994,0.583338541195923
388f8a03e8b6d740ffe3dabafa963e78,8,0.171690889753555,0.477552214924142,0.452166814702453,0.552206723841099,0.597640077627747,0.965782196950724,0.0153287129309802,0.441557195728715,0.0390988322444346,0.712179006280657,0.000379702822130159,0.000467396784582543,0.510568274269897,0.000146510889073273,0.93748901890406,0.104095100902894,0.589202136210419
c908438353407d116b15a43db78579ca,8,0.12360403204222,0.7545970015223,0.289512979988718,0.373030823845098,0.813431640332548,0.724349842578617,0.016028155299065,0.388715672727957,0.0428972587922207,0.764886224280143,0.000378206523652342,0.00321787207304523,0.510744462205174,0.000278561968777,0.876268873255248,0.0764066236370782,0.558674429290897
0c832109249738d8e37a9430c5d16cff,8,0.121765146990465,0.71968323501356,0.78243728340927,0.953859808943423,0.879887843299417,0.943529416323029,0.0493481460874075,1.22338771437712,0.0368645366317994,0.639071954958882,0.000360555919408346,0.000762986462437776,0.376413801051002,0.000670731721239883,0.705938952058654,0.0957948029001432,0.466318061031368
c159f0874fb65ca6bb6457c34bf56598,8,0.130481440114581,0.708864304452299,0.927154706554189,0.43945322408572,0.0653677612658665,0.434706096746736,0.0440045085788847,0.105300253335619,0.0297188310810466,0.73105197975073,0.000455758012814475,0.000742578865193279,0.367386051738457,0.000534878948313189,0.685845961511381,0.0784182013936858,0.77352596516346
80c1259ff8f8184d3286c3a913404a82,8,0.150022186856834,0.427280274768787,0.128027021257868,0.732079718109641,0.681755787280066,0.737948259057378,0.0311764314012559,0.435543731045527,0.0455837825691485,0.794913647234541,0.00043967071362424,0.00106883560109456,0.492160124711624,0.000287485280769941,0.70004896976409,0.0745847627950908,0.455734172024078
d40edb1a846b8ae46a175524dabd7b57,8,0.199939461586576,0.513609772002493,0.749153650814397,0.929844062832194,0.39373483438983,0.806107789109025,0.0125218803949488,0.413115261165251,0.0312608913859497,0.622211665505259,0.00045237550331835,0.000755446453867464,0.532384232653623,0.00091531125485018,0.946948311387187,0.0708170245677937,0.673543016947565
9f4eac5dafe54e5a72e84a4da625e144,8,0.108544029378717,0.724971937727465,0.0360831957995919,0.866595870754562,0.463765331312915,0.675985690409308,0.0169158075811166,1.73700113061671,0.0334963055154432,0.605600982113033,0.000371400289510154,0.0014866077146159,0.492439488335207,0.00046193456424478,0.696429228129516,0.0764117655967429,0.471675709287806
b62e574cd02e328ea38393a7e4154fa7,8,0.223538032468798,0.611551758421417,0.997301067721821,0.0675783512999495,0.616937454555043,0.761167744514156,0.038319439872509,1.37947920062542,0.0357955816010516,0.842169061362819,0.000491465208261796,0.00208185417486481,0.522591305664857,0.000540245408424178,0.94970287906269,0.0839184238065665,0.914969264588249
3c0a7805b67fe06e8b34fcde19081342,8,0.240270880616523,0.72528763832877,0.846290900237578,0.85247551990851,0.474126890295113,0.873871987663713,0.0322145756109157,1.55596151081599,0.029676610562149,0.644521734866439,0.000435064818584993,0.000793425314665697,0.502042405003712,0.000866830021916016,0.962789208375395,0.107702714362996,0.932361958354006
8f8bdd1e7440d962bbbf9b94f56c4b69,8,0.12389551062137,0.761980941220715,0.945357764591394,0.929592899967752,0.072455846623925,0.823730973613074,0.123692658451089,1.86831081209987,0.0446313577583843,0.814162348568857,0.000405775530987304,0.000895964591663616,0.175448509106996,0.000352973877758744,0.900086796202154,0.0828561547075779,0.426487417644419
c650f0b7ee4b1e67566b41e97e547843,8,0.10721303249072,0.705791372093083,0.100131080085429,0.0865765397341217,0.351803768880713,0.836244110330162,0.00113644400515539,0.40204611442753,0.0416745241340443,0.613670363148609,0.000302993742127306,0.000195040055058705,0.468630968470825,0.000950762837854364,0.933889508955534,0.0928827510556606,0.488239693054537
970fb294321d75ba8ae9e6fc87387a4c,8,0.211025924653212,0.588276843795625,0.72156007967148,0.78554229282233,0.0259069333914907,0.841134652019897,0.0191011848859362,0.984315125788886,0.0342420544168399,0.700761947459041,0.000440239551823743,0.00064135399639265,0.481870951690482,0.000513553343119296,0.884095082255251,0.0979733033400872,0.481111465810657
7c801753a3ed30a5521307e1c2d5073b,8,0.114465011891503,0.412284922647794,0.21980069576564,0.292940193990978,0.396014037301528,0.829277424199715,0.0251900141435026,0.0903725805418303,0.0313819653661392,0.847751661609415,0.000347524921462164,0.000635813168644327,0.368338700127049,0.000584294604830022,0.781941859677377,0.0840846158041256,0.705753616299781
bab5eadf51390e8fe21d4351a4c0ee43,8,0.227114741721668,0.79348894315541,0.878876696281899,0.694950102574418,0.933546822508866,0.98023199021627,0.0445269275022411,0.167977942776865,0.028495716587188,0.63388636793152,0.000486148162586546,0.000685562027215428,0.46684216744416,0.000864174926956574,0.772402240165661,0.106711582685139,1.03193772528497
7a7cdd15e659b56fdaa8b07bba91e011,8,0.188413799020083,0.815762489952112,0.754973762383811,0.57021652364761,0.594081714848769,0.846341000516824,0.0671609416780391,0.10391238925449,0.0434716205272113,0.658391764789168,0.000506657065143694,0.00292403343979733,0.418821618507314,0.00047269045590009,0.907669607700557,0.0800354502528384,0.859556167446975
b638868a62a5f620fb3c492d9c7b2b84,8,0.18169520213304,0.604771350034393,0.964858170321694,0.504842640870672,0.450479666068208,0.72810868655455,0.0307650974377523,1.82106886813507,0.0441068914866068,0.749055078927695,0.000380942698717744,0.00182394123403964,0.505790359615869,0.000311240721031549,0.704531300855993,0.110648387242754,1.19403584387554
ef288502324b992772173f6871f1c7e7,8,0.229962006734497,0.61535440339321,0.875453893465918,0.427097382453914,0.138066817482177,0.963679359710433,0.0471297001858845,1.43788962022975,0.0348868579103515,0.804698376543203,0.00043886901244263,0.0033024342952533,0.40504074240421,0.000396383972611169,0.899205181683391,0.0934549402407606,0.451060428655208
78689a1e9eade8f23dfa3e9103e9db0e,8,0.179858804797939,0.539667850543688,0.905558165093072,0.0748644808268085,0.789794730493638,0.746423948144962,0.0208683089214685,0.321588806374336,0.0277960345527806,0.733900876367867,0.000330607035721102,0.00172227701763853,0.587076944332953,0.000479024718220478,0.961347210578828,0.100443852650409,0.499967577047875
d4bfeee7b830d7c8aca573f3d42a9e07,8,0.101972934628417,0.753388085440276,0.97125244839937,0.230828298886755,0.692819276681112,0.6711311207893,0.00163753048232577,1.4586307594693,0.0285652248470378,0.673617104265376,0.000320600263269103,0.00400360922682104,0.48599149354217,0.000239754784819543,0.784535490965864,0.0727211168019619,0.41966881389618
7e2ea2e017afc0f8d355b47ecc916afc,8,0.195013089065996,0.465725994041393,0.512939326424196,0.633967352876412,0.737349052620292,0.894867023601808,0.0361819157184854,1.87536129066517,0.0276757008866813,0.691214793839099,0.000469823681429453,0.0014930589730921,0.375324745575232,0.000377134618137402,0.915020039456246,0.0752687987754402,0.586442672385399
c91bf0a34a9304dcb32d69d1be187736,8,0.107084422177695,0.54817493210203,0.840456751053725,0.301515014005263,0.164431441281323,0.928380891123018,0.00147665880441104,1.85231691543259,0.0358790986683034,0.727350727951176,0.000318035675802144,0.00254884598600106,0.507451316478565,0.000495909054321812,0.624440353157027,0.0889283491313501,0.778518587919393
0f9a962c5b9f3e0bc73e05f5d12692e4,8,0.183399454962612,0.426859196313121,0.298086157593506,0.942673189909221,0.722278034699129,0.829718135454213,0.0170667196398991,1.50258822846008,0.0289811042922153,0.755205351042455,0.000469465448793769,0.00214248440002261,0.556850553044684,0.000371174095117305,0.760625756798536,0.0724336152988778,0.582777925080468
9a50281e9017c51814fe1a3d2157382e,8,0.174009242448753,0.748050579670432,0.924380490937483,0.188734367753564,0.922960856908484,0.875063451346659,0.148410373960337,0.479476542419879,0.0428450888200885,0.701607950686701,0.00036828533500985,0.00472172799239799,0.183213458060431,0.000251010216533924,0.879863504851705,0.0890096822032233,0.305245422109356
0a4b30610e8d8af846032a9369d8786c,8,0.172830964151663,0.727542748905926,0.729216705004493,0.694866800777176,0.284446616477576,0.849141457079999,0.0339563859324625,0.857577144995026,0.0422835532038544,0.801049300248717,0.000426635645603148,0.0030896535447414,0.453033881299542,0.000172697704349109,0.88075397311439,0.0777788721786597,0.234906870754804
f676dd9caf1ee982132934ff5a587c46,8,0.130363805040555,0.751860372489611,0.955779491102285,0.615130424204399,0.444309653725102,0.587063654638941,0.108249997953759,0.864295045447193,0.0445105781405102,0.683888541471255,0.000359252925949128,0.00168192719233453,0.254240792256632,0.000785257610469649,0.989094194075891,0.0859457159424233,0.666951043301896
d2caeb11fba2ad7ee3bf8b4da5b0a769,8,0.140271211851708,0.737213860805395,0.387021445672932,0.22442364212622,0.27964260753465,0.695043618866692,0.041182213663766,0.24906572188107,0.0319410928916864,0.682173119226701,0.000386319010688726,0.00339241154524411,0.37197359936475,0.000155420698139075,0.927029548322387,0.0801898647596654,0.498773060144464
b178d573b0ec4ddda5ea16987210afb5,8,0.220694066546361,0.641128557941598,0.827333154355652,0.639289686682049,0.513712310083912,0.876680321693658,0.0463430719200469,1.71891267996028,0.0273462220419257,0.814550243728351,0.000442807586567216,0.00167398401801619,0.441765844387809,0.000442977005048122,0.97183778293102,0.0981287299692878,0.560836229990299
936ea8d518ca3c1c9fdaa007c0854452,8,0.132917109486155,0.627016790554439,0.987340637639778,0.100924214408904,0.716370104108492,0.898173579349238,0.154699811231824,1.13676509876691,0.0394739763738914,0.655920830014314,0.000378393337788308,0.000714643857715231,0.107413745845537,0.00090578686150525,0.87596038002569,0.096148509458139,1.13031774723572
9f55cf3e22af3619800200f05069b20e,8,0.106087564381872,0.73881307018102,0.0617127928002532,0.634112853795266,0.59090646934158,0.793343982525328,0.136143274310474,0.408869387477092,0.0373353959622608,0.679606741983336,0.000336293749995357,0.000698926863295141,0.213005080243276,0.000433567741770515,0.816381553437198,0.0794289340843013,0.205994479245274
8f1837dbff7d3f56354d7d4d5ac4f49d,8,0.174457595081253,0.417601461428751,0.646005123720268,0.805065009493487,0.669441171980306,0.787913374653754,0.00499667777768591,0.89195430364597,0.0261409974196654,0.777212312970364,0.0004115123459699,0.000119814238399374,0.590183492623957,0.000490407216370068,0.782375703480412,0.0888045791172164,0.438837370490282
6273c98566a23317ebf0601e8535de54,8,0.210500507411386,0.704728113009795,0.858584975170944,0.645097052450925,0.788228826084609,0.637416024071596,0.0281680995093487,1.3072540241512,0.0452228596826032,0.694731885676961,0.000477564915188069,0.00242761330627299,0.398473345543219,0.000420324088597567,0.807033045434552,0.0922749727269994,1.08308925059985
901e2de3b36c4097b76b19d93dbc1985,8,0.133242046172443,0.726260632215219,0.391431702177044,0.437766620331437,0.55976980956838,0.909758635274843,0.0473855127736714,0.102903849685489,0.0311493917185363,0.66242897702818,0.000413163832080858,0.000634376693570611,0.316439029884789,0.00104688899217801,0.904995503302879,0.0764655067627234,0.679463147691184
0b5859cbfff8cb4de0d0706cc95d721d,8,0.120887882803421,0.340298919775604,0.981288195848431,0.0747342956582981,0.310324471556044,0.989896698421169,0.0189019175620044,0.43011934350936,0.0425399887097944,0.755799486682543,0.00032781391883005,0.00182877753139089,0.461623560332497,0.000410498567478896,0.769510354212779,0.0758624106034249,0.509764765366339
0cf333bf5f66832fa770ebd7acdc794a,8,0.212469228266204,0.529941284266922,0.973929799695787,0.733207739173702,0.0596095472642543,0.915133930289454,0.0375160920103406,0.142337541850059,0.0324901553190286,0.831067377294432,0.000530501497939246,0.00528563479904877,0.498695648438115,0.000245045059411633,0.671786964431473,0.074975370876738,0.800569310830054
03605b979d8f3c574c04eaa6483573d2,8,0.197423929666128,0.811443274817308,0.603039039020779,0.971781148200149,0.187554385948906,0.808028908326973,0.0165037844836859,0.783896912224743,0.0294181890267687,0.652598593286418,0.000379978756395252,0.00405894368689136,0.496732344786551,0.00058737212966324,0.955788212705348,0.0848119907920344,0.262350288846787
6ffa52b090544bd1ea47da8f79e30133,8,0.204694657097844,0.752235424295385,0.834854263252671,0.771297157307426,0.488203711467179,0.809603105846883,0.0804817754945729,0.872398035956629,0.0382317188513752,0.789142435705786,0.000437663856240465,0.00121878045821855,0.384554520266992,0.00109938366751405,0.890420269189299,0.0903280352706516,0.372643815286177
6e622310196a97bd0f77482729a85ad0,8,0.132002352274683,0.65174792573642,0.351922185012989,0.960663349188433,0.230718454081558,0.674487250441574,0.14561396122774,1.08100528750661,0.0333769042647966,0.738544107743227,0.000385958565112795,0.000881075139549313,0.167625360083961,0.000288642958275569,0.901010232589031,0.087069465492088,0.371048921011159
83637674a898974eb8433727859d0760,8,0.207683635599213,0.510583780342758,0.370570188943341,0.151775831555869,0.465537804194798,0.783908603051263,0.0371487561641763,1.70533505122498,0.0309084625308349,0.791486556165041,0.000524446570857272,0.00300728048711794,0.455583277559306,0.000414689766228405,0.757640649387463,0.0775197861004282,0.964937418470978
3008be06494ec6a0314dc2b7e9aa6fe3,8,0.183377797554951,0.826568399359327,0.274529717793853,0.487533386033165,0.869952320170123,0.770542335136021,0.0445708188674782,0.604293361259963,0.0331835966806027,0.626293688301996,0.000427075079589591,0.00425415015450881,0.350052353207459,0.000538768487754537,0.970091281625166,0.0712858992338837,0.434598905283903
23032a6e217d34b1f23c7e40c1128028,8,0.170763055896791,0.542562685245782,0.0354237430237117,0.0587851400307879,0.34101931266615,0.929960184807652,0.0989330515489891,0.67056949315083,0.0428171244659637,0.631568648472834,0.000468344452421654,0.00233887164681219,0.268278845440388,0.000310475656176327,0.742505202705474,0.0855932362360242,0.815025058899929
425a6516552c7c74294539aa39def08e,8,0.137678293479402,0.733338857092555,0.36016170589154,0.85551431952611,0.269852349751112,0.70100314014654,0.0211158140815209,0.76770083834351,0.0383650851774923,0.812579152196648,0.000382762029108725,0.00430811864135576,0.499001891227225,0.000158137499149996,0.989380732047028,0.0700721108301549,0.39368067987125
c945b0fb1c4ef02e9c72c18b244170b8,8,0.184701229263793,0.484299427324494,0.777276356518269,0.248077575591211,0.257372498689151,0.794202086116902,0.0286490777534872,0.602533472378424,0.0310775876889405,0.669509973170438,0.000355873268466787,0.00172341294717057,0.455216871366724,0.000414200462707773,0.857965143905798,0.109043411935045,0.905622504427457
286f3ffacaf2a10c304ef8d0cbdc65ea,8,0.142349744858894,0.675703669732042,0.96631354383395,0.387882775624988,0.00149954993359963,0.897461958557615,0.0289284956421141,1.78879203815828,0.0322872306745139,0.777911676544106,0.000330865097809174,0.00267634645225171,0.403659597259918,0.000274035099524088,0.847989578493654,0.09793017304855,0.505255503093417
408dedc73a45a6c995709e87095b50af,8,0.195676239298375,0.674001530508025,0.874119397511942,0.260004597061471,0.564782664364166,0.466173842920729,0.0284578668830828,0.94341210656894,0.0278872446097292,0.777826616217105,0.000422606128600626,0.00159111921984082,0.481723544853825,0.000467634185447926,0.749216703659414,0.108255122695188,1.30656223420705
8dee45a065a9e3d4f2069e841ea03d77,8,0.181287606999937,0.538458621995741,0.909385960319059,0.749571543815032,0.633959710859533,0.957970587865415,0.00107660268603607,1.5027779645286,0.0295890656443104,0.713408162500667,0.000346527891050184,0.00303550439871743,0.648743684280207,0.000747534351986334,0.686033557586952,0.0988263397660167,0.282898783082051
2e6d2158b1caa5e228baa7c1f1f50fbc,8,0.164648681176289,0.60890797212239,0.580766821475956,0.358646745050158,0.617150296641784,0.907685832578268,0.0279027329938147,1.71420643018835,0.0313654795094738,0.740220544811664,0.000376696962731156,0.00350685721894654,0.374600124419103,0.000179906521210121,0.929879198231619,0.0924721904775743,0.533276959405425
69212985c0b4ad195ae643782dc5ddc8,8,0.126619187651678,0.748347481355728,0.975039637815532,0.760381165868842,0.914726097315742,0.854533467450206,0.0980020020010016,0.838630820238615,0.0418594745088536,0.644944612743202,0.000399000650427086,0.00292347369409196,0.211415800825417,0.000243712249638836,0.844094977424637,0.079236214358161,0.596897114434722
58067c8cde9aad275e309f832e44e442,8,0.134174679567418,0.465492672937907,0.11145633968641,0.426748152340571,0.403107869007423,0.749249930945079,0.080760067201208,1.32990481226923,0.0351102139608604,0.676171945535611,0.000374893380106645,0.000600054938434465,0.223769894161169,0.000297294440619847,0.705620256872414,0.105775946208526,0.760086937728953
