uid,nhits,alphaH,ARTmulART1,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,musTB,multiplier,phiS,pR,progmul,pT,rho,sageA15,sigma,t,theta,zeta
6b1a2fe93bd9c9465da18f05764342e1,11,270.555755423975,0.32269409093605,0.181815952696382,0.579345891306301,0.660683300853403,0.501620022460125,0.224839372795711,0.665113223909538,0.133046652489145,77.3958323693197,0.175828296835285,0.422357457353117,0.035469854583388,0.760189180565626,10.7751340440859,0.000361400836267151,0.0194673311927243,0.91537675483508,0.000527721229508554,0.732185817750574,0.0820520308108492,1.11126129281255
cd949685b35edfef0cd9e927078caf48,11,390.719282980681,0.316803408303607,0.154139171149153,0.496303700776115,0.595376457870425,0.45612516272678,0.155994991331361,0.558415286499757,0.106540193834916,80.3405879267532,0.15969317708913,0.954913920694662,0.0425996537905592,0.815544707157904,10.2758345960812,0.000303484916683329,0.0224769045477299,0.884918170531112,0.000759474270515001,0.70594580935262,0.0834663154509846,1.05286108448883
7267a109acd78288b9a921d0c93ad6de,11,297.624691537218,0.43143110461272,0.191271382669788,0.510464048858824,0.676487386105587,0.758079782711181,0.166026702693269,0.853590650311367,0.118693209242378,80.785333493512,0.165860289590356,0.411875687342253,0.0412551231250498,0.779626327435146,8.40113210956634,0.000273913003011179,0.0308546998231531,0.914147829657042,0.000942704629117847,0.767432123772629,0.0959955405176539,1.0012184466467
560e7b28009574e37e73d444e245e105,11,243.42751044191,0.367423363522855,0.138041674298228,0.440894038368154,0.605775438660811,0.188118273742655,0.488365076458087,0.364547447284139,0.0706332882938419,92.9576830920767,0.159245937363632,1.71020937499321,0.0333396320469903,0.812328068350665,7.10561972065279,0.00032261394359871,0.0265170041034788,0.949832821921054,0.000404578139303561,0.772060904629647,0.0706366624732554,0.82888009126786
2ba08c2638f55ba05db6f672427c4883,11,177.347199923945,0.32762075576079,0.164569568821152,0.445666403959666,0.791665497936739,0.382699221699743,0.774057585894896,0.708726626306571,0.120330900194151,80.8313055825807,0.164970069578832,1.7055441745142,0.0348317963768466,0.8114438887489,7.20486043751275,0.000257507333106196,0.0352495457053046,0.976379669786816,0.000746680503171464,0.90701011414127,0.0880112572954222,0.577200447556399
3034b3d955e8b2cc204d213b38507998,11,255.497895145702,0.330378364162631,0.179752093957046,0.408268658681801,0.28598493553669,0.172388969665647,0.822331134653325,0.778746402528157,0.106159933597982,74.824518517317,0.168742165529188,0.100739093731504,0.0353834704920994,0.786761009521013,10.2842527631018,0.000310239788301986,0.0257424961182753,0.849884295904248,0.00069283272847705,0.699150539313402,0.0862648740526894,0.829288448534722
b10508ffe87b65847c993e573adcc11a,11,181.412834330936,0.28145852322099,0.160800035692879,0.477329729237311,0.126603229024603,0.0083295640769589,0.303764802253635,0.58575104377765,0.0539921904588762,67.741323314648,0.171747535659304,0.337156926042582,0.0401592076507175,0.748657769595964,12.6102627065586,0.000330290265499203,0.0155014441663311,0.966553823912713,0.00106800548491635,0.717242941610065,0.091348559596607,0.61066148208569
586463a50404a76f565f77fae6fbb910,11,251.723312721078,0.305569109862385,0.193637540523232,0.512316476203886,0.350134475538454,0.0840777321552056,0.48008142483168,0.56739505723621,0.141462864329159,82.9564681316975,0.154305703373086,0.90869476135763,0.0326188994917019,0.822366322393242,9.22781606953677,0.000326544964554788,0.0244861722170183,0.894042205644344,0.000310349621350622,0.646384314274661,0.105219219085337,1.22251502577047
e0c785979f36b55c5c14a0ad8ae381f6,11,283.94641412359,0.36982363016087,0.12322623366253,0.377446531463409,0.601576785493154,0.28110790756316,0.193324042109702,0.86092379601827,0.133012751872539,55.6909123464715,0.164428084024031,1.01779111645198,0.0325446885586097,0.742872012130624,10.1454995402289,0.000246968043154254,0.0395758942577408,0.991639088902347,0.000887663697401448,0.85451598532799,0.0754508696132603,0.733654074788138
a55d553576225e9868b0fb353e560cf3,11,230.493536839263,0.414049045732804,0.163503659401848,0.460310947038591,0.43614643966591,0.653165499237225,0.233735612825217,0.542781408859405,0.0999196045874297,81.2497814900737,0.148958603590296,1.14876036893041,0.036001364778854,0.74807045207934,9.20932292324726,0.000279938525169496,0.027124301001568,0.903015905472909,0.000766407361020994,0.811849755278521,0.0797268634072521,0.766089744089755
805187a7c32f52dcb2133654d18d2e8c,11,394.597866814161,0.285501653417279,0.13648638462932,0.334322471674533,0.712185675387043,0.720492133815191,0.6599862838809,0.766646941379273,0.0698312761342543,77.9010816523924,0.176130633898135,0.753567529045883,0.0458254664073023,0.802698146644666,8.70463950855691,0.000210909928118393,0.040828806039893,0.896381253282177,0.000550250778088329,0.856434876370918,0.0947266376459948,0.525356090133389
8f4bda32d174e63c781dbf36b63c92fd,11,260.996844227397,0.432045063404727,0.173521388725701,0.341590411274183,0.763186141758992,0.00987332417965736,0.651130861183952,0.563180672387,0.0807415878282605,63.3185170403104,0.153344492714052,0.877971443400375,0.0407415222567404,0.688629595187688,11.6361412369909,0.000309374747102384,0.0239952698933389,0.977470750906691,0.000678030432729161,0.650300507960749,0.0818550965649914,0.774508273865099
0cfc31714e49d7bf17e12fd4933e182b,11,445.504243644688,0.335775717362323,0.127016147730991,0.340939748704413,0.755119145608947,0.380038151016202,0.319135847079379,0.656002423949265,0.0880310787730201,74.4181143850435,0.174000881756012,1.64400565392831,0.0374299705182581,0.777264844409021,9.02181435110214,0.000251804345963523,0.0286527665030512,0.965012197251752,0.000299994378649194,0.867388645130825,0.0926968772355979,0.259305677975459
ee58b2d3a370d573f264e8695c9ba34a,11,197.718627536047,0.333969349310477,0.176783180644829,0.457905032200473,0.440406930640438,0.575357328301133,0.751921658006735,0.845144786174284,0.128014451689429,70.3742982773117,0.160213736765381,0.703466222602223,0.0363602079102355,0.67749061885524,9.124033750978,0.000239557426641871,0.0384827191095503,0.937586386095165,0.000495184133148347,0.848850274211649,0.0975574461683804,0.683961169481684
4014869e844d13418237370151b35a4c,11,295.536334393051,0.319328567902725,0.158382532181459,0.369517753999532,0.68065785653137,0.368035637966068,0.595862851152374,0.724703273453279,0.103172907597625,64.197014156602,0.14822878714103,0.170566518762524,0.032204886755173,0.815455919513706,11.068221903217,0.000283180857310023,0.0260343119136856,0.963798974652414,0.00103572698201379,0.855838471595913,0.0829472953960807,0.584455928208898
1d32e66e775db392eeadea9124b1aa41,11,244.272316341947,0.420604421421528,0.157853990365114,0.479604088499054,0.837411706052732,0.617470271451686,0.431984898793542,0.370312713567533,0.137257824588666,74.8130670621646,0.157215388624272,0.932027468035403,0.0330031106060898,0.797539382782996,7.53846183578213,0.000329066663877144,0.0267558292588249,0.892526032022784,0.000968857299230886,0.792060198334687,0.0745731034671675,0.581279578826758
191994710789eb963d6721959b0076a1,11,334.248703712722,0.296806847414021,0.17442123858142,0.407337619516312,0.0246898193895841,0.72607236217886,0.018998098225311,0.532181883957821,0.148671532843074,70.8733036038375,0.177177397936795,1.47456189464917,0.0391192294384457,0.671877490218416,9.31889590935735,0.000327025979017405,0.0141120586862034,0.932675547139565,0.000858292648764081,0.856176059392963,0.107663856083584,0.86773140303856
