uid,nhits,alphaH,ARTmulART1,chi,eta,j1A0,j2A0,j3A0,j4A0,kappa,lambdaH,musTB,multiplier,phiS,pR,progmul,pT,rho,sageA15,sigma,t,theta,zeta
6df8568ca8456a26bf0f6008f425c5dc,11,5995.0580284902,0.370761233798408,0.102973968543215,0.880805753669561,0.358455596218657,0.649504354121968,0.306675359582027,0.637149149273237,0.154693176939073,10.7426171424546,0.140359256682734,1.04849588483937,0.0414828560037268,0.634726521166574,13.0165250252911,0.000208850517723047,0.0192766692498899,0.365635751603706,0.000544495347101416,0.98248823896804,0.0791214640340643,0.625585382217173
da9e279bfbe449332d06deea005b6e85,11,6787.51385854607,0.330909672729704,0.123645575084599,0.807208087314598,0.779846694299485,0.402833580801157,0.756659694241167,0.995471473218869,0.1576918834555,10.5523223210369,0.101127379359959,1.30797217774469,0.0276295270598502,0.65872172953367,9.51162234625567,0.000180221451828225,0.0364342925775055,0.625945675690514,0.000440348740042426,0.972965646685508,0.0805742440345247,0.612603875271061
ceed8e740d125fc7d4aa92bf8506f2a6,11,6641.12156844926,0.390422511723717,0.112408417612281,0.791065689214521,0.812071538198962,0.381768379774475,0.234723373680678,0.768094147396096,0.106158773209288,10.6460026593079,0.139420247182692,0.581960807484949,0.0392581074034723,0.73357617560853,9.68923146189812,0.00021759714702979,0.0162680904992434,0.599478775998947,0.000840770744626747,0.890145442068,0.094475668265888,0.717208266586006
579b25d0cc7f2bd84bc3804bde20c49d,11,6142.2374532571,0.407703242701381,0.109026892130949,0.810904402693912,0.358652752166207,0.885333251475489,0.542508900826741,0.715843833739986,0.0457080495016435,10.9058336951041,0.0868972825682497,0.135443669178937,0.0336475996774285,0.679902176481689,11.1693899165499,0.000209464828539792,0.0284726297988001,0.795146760903962,0.000887894446671025,0.945669639747797,0.0770651063356017,0.59201173282743
a45d0c2154c10767cfacf59e76998635,11,6309.05721196911,0.360857793192855,0.123759486744953,0.785819212799432,0.702628162712934,0.415548630657025,0.5638902517544,0.836884201419739,0.14442335322833,10.9269652705835,0.114753365959063,0.792496245948187,0.0357563685884634,0.668408369904989,9.24353882491141,0.000210616982178737,0.029092074281654,0.568528861922479,0.00075389527630381,0.784968843099406,0.0809163361842905,0.494425304708735
0503dc299e3a759cce87fbe4575e3e74,11,6710.74006325679,0.396674043463142,0.128659004090234,0.874284576731284,0.966569823363997,0.790773755474587,0.28461665504708,0.95363818388322,0.100316609408485,10.5638766929496,0.0655712150229452,1.33986025997749,0.034986475170564,0.620367707639671,9.851967123303,0.000225422479718144,0.018317510175847,0.705879516502283,0.00098653351023499,0.986565247586092,0.0789247979927513,0.678721938146839
bf5e8c09e9a969c8f79cddab5d0a4ba5,11,6347.14765147992,0.342179325602149,0.130221354666907,0.794935622645029,0.0267344518844745,0.771643366471601,0.361058078481531,0.638555679805443,0.031492879214828,10.8092450602605,0.13320049166095,0.908424831909946,0.0382085377247797,0.716002082892169,11.9251527488999,0.000237629822884485,0.0253625545240792,0.697266506015659,0.000589608210912554,0.706507618830382,0.0834590474840563,0.384649902203745
e457d18433624c7b1107135d2aa82626,11,6230.58780747555,0.345733830586817,0.121489058732366,0.72369614260825,0.2606495303874,0.817184242159262,0.508559505794564,0.701993930740257,0.12715828222959,10.6369324769551,0.0720040794118668,1.07190374999001,0.0417307212272077,0.671767149516002,8.4328046745722,0.000234963515801196,0.0145793689423902,0.861870713976494,0.00105358126287014,0.728669338296157,0.0978981232443609,0.804469208084551
39cc61fec05df67db31f3d5d88596781,11,5557.00854238856,0.31479821068697,0.130015012674758,0.778954956136339,0.815156976941598,0.545670943230489,0.81242878301302,0.905225367408776,0.0750300973282132,11.0385525110429,0.15414229436901,0.659339103053199,0.0381147616091416,0.684427265723447,12.7747205277007,0.000210289295860593,0.0210827607204748,0.477350866791263,0.000803143448509883,0.867014178596986,0.093680626715767,0.980120789791737
d8969f85ade1e44af115c7609b77c54a,11,6266.46997420289,0.352152052412164,0.111348922553259,0.740666498064215,0.284853156037366,0.736367948081962,0.425133704012053,0.731783643561094,0.0371389519482706,10.5290883792397,0.12123234322264,0.728764823934172,0.037179520101319,0.636374628882087,12.8575688047852,0.000197151359175721,0.0212521250126492,0.794478069400333,0.000975296501470904,0.963827270095996,0.0862114564670782,0.723496433289271
