"country","year","xVXa","xSES","xRISK","xHIV","xTB","xtype","xcause","yVXa","ySES","yRISK","yHIV","yTB","ytype","ycause","fn","age_from","age_thru","value","lo","hi","err","name","type"
"ZWE",2021.5,"all","all","all","all","aTB","stock",NA,"all","all","all","all","aTB,sTB","stock",NA,"x/y",15,99,0.504,0.361,0.797,0.218,"TB_subclinpr_15_99","ratio"
"ZWE",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,65.9,40.4,92.9,26.25,"TB_inci_0_14","inci"
"ZWE",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,305.7,183.4,428,122.3,"TB_inci_15_99","inci"
"ZWE",2023.5,"all","all","all","all","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,211,135,284,74.5,"TB_inci_0_99","inci"
"ZWE",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,14,17,13.6,20.4,3.4,"TB_notif_0_14","inci"
"ZWE",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",15,99,184.2,147.36,221.04,36.84,"TB_notif_15_99","inci"
"ZWE",2023.5,"all","all","all","all","sTBTcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,118,94.4,141.6,23.6,"TB_notif_0_99","inci"
"ZWE",2023.5,"all","all","all","all","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,48,34,63,14.5,"TB_deaths_0_99","inci"
"ZWE",2021.5,"all","all","all","ART1","all","stock",NA,"all","all","all","HIV1,ART1","all","stock",NA,"x/y",0,99,0.91,0.84,1,0.08,"HIV_artcov_0_99","ratio"
"ZWE",2023.5,"all","all","all","HIV1,ART1","sTBcount","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,127,80,184,52,"TB_newhivinf_0_99","inci"
"ZWE",2023.5,"all","all","all","HIV1,ART1","TBdead","count",NA,"all","all","all","all","all","stock",NA,"1e5*x/y",0,99,34,22,48,13,"TB_morthiv_0_99","inci"
