CountryCode,sfp,kappa,ep
AFG,0.988840498027361,0.0474018048302219,0.154080549568517
AGO,0.852960329243833,0.256579096750755,0.0378400947002942
ALB,0.987341772151899,0.155642023346304,0.217002894732015
ARG,0.919423731267646,0.33397660113376,0.115375681793697
ARM,0.949008498583569,0.198979591836735,0.178331299834096
AZE,0.898647621941954,0.157098851862223,0.124118327281657
BDI,0.984771573604061,0.0836035527985338,0.14499136577708
BEN,0.973670490093848,0.117300613496933,0.0467531344890279
BFA,0.932179823883825,0.193161200279135,0.0857970765724181
BGD,0.994493319584915,0.0572565521303142,0.125197658803238
BIH,0.968523002421307,0.212121212121212,0.0769116181576416
BLR,0.965019433647973,0.186304128902316,0.0575251794143619
BLZ,0.964285714285714,0.352941176470588,0.0293002918746028
BOL,0.93710320389783,0.259316371112825,0.120746729461015
BRA,0.903309795258196,0.353683089352748,0.111624324031382
BTN,0.972582972582973,0.103967168262654,0.32300425170068
BWA,0.986486486486486,0.163219255359158,0.100228377457688
CAF,0.967919612951247,0.111603064164734,0.0729877660038374
CHN,0.988972531424207,0.0714255072712453,0.03258280418439
CIV,0.96781099073228,0.184855233853007,0.108515885935808
CMR,0.970775770456961,0.149080031143712,0.0762628540819286
COD,0.989081691516731,0.0516836142433478,0.10051436686585
COG,0.934948819720075,0.14873540103643,0.138487775529739
COL,0.923444976076555,0.363792048929664,0.137955088702148
COM,0.951351351351351,0.186274509803922,0.139547500015909
CPV,0.987654320987654,0.145038167938931,0.102597978647081
CRI,0.981937602627258,0.239884393063584,0.123307407959717
CUB,0.96474358974359,0.244725738396625,0.0953600849451662
DOM,0.920966298836863,0.258634121007531,0.0868875852599999
ECU,0.882347188264059,0.288416471375963,0.125751199731127
EGY,0.944099378881988,0.161039287059119,0.248991285500214
ERI,0.983449012279765,0.0610766045548654,0.226480484896872
ETH,0.987263717742993,0.0529754477663264,0.205579080597699
FJI,0.92776886035313,0.364829396325459,0.209603452790169
GAB,0.853352716699982,0.266225582860744,0.0439855998168498
GEO,0.945425361155698,0.114977307110439,0.165485062983242
GHA,0.971513836136734,0.169811320754717,0.0254743187124316
GIN,0.969076046036356,0.11467680608365,0.15040584557809
GMB,0.950678440663364,0.150199203187251,0.0445000752498541
GNB,0.91044776119403,0.261522703994537,0.0113606660255168
GNQ,0.935454379228378,0.192663582286847,0.0335872839678014
GTM,0.961219213498435,0.176426799007444,0.0671338521360493
HND,0.963479096588179,0.205260888313928,0.0823476503180271
IDN,0.95497866766238,0.150489480179004,0.0396141492712675
IND,0.983486381547464,0.107300729713742,0.121566481483335
IRN,0.956761006289308,0.211222050344537,0.191333374788477
IRQ,0.981597986788298,0.0712877294099803,0.248905412841127
JOR,0.978947368421053,0.19047619047619,0.28516109272878
KAZ,0.980031287383823,0.15907165847874,0.0892846153920995
KEN,0.968749415804134,0.162112327637546,0.0815197233819868
KGZ,0.920896601590745,0.190737833594976,0.186634776870049
KHM,0.990783119219722,0.0464327557501387,0.2275272504125
LAO,0.974601752926876,0.159976456739258,0.0356161671661672
LBR,0.912536201903186,0.220700824499411,0.128081011058269
LBY,0.798641136504015,0.376942355889724,0.178492973753536
LKA,0.957998346983244,0.238385175380543,0.170280612244898
LSO,0.963816146908617,0.315702781844802,0.0584388023306195
MAR,0.954829219288175,0.118218951490396,0.407729303236446
MDA,0.95129324823648,0.209861695730607,0.0942679726181884
MDG,0.938485977212971,0.18316622297415,0.10579089418269
MDV,0.939024390243902,0.326530612244898,0.278601864405436
MEX,0.930736735832514,0.369052777537048,0.147849079193719
MKD,0.978723404255319,0.101010101010101,0.159564263867565
MLI,0.94934547524189,0.18725818932164,0.114435714285714
MMR,0.958305050072994,0.14211058228023,0.0722806341337984
MNG,0.940580004055972,0.127231295100646,0.115761824922277
MOZ,0.991438544218272,0.0555859879116492,0.0547789650135097
MRT,0.968605724838412,0.158946026349341,0.148203059129416
MUS,0.923976608187134,0.431192660550459,0.0478834033613445
MWI,0.988397210393137,0.150553589772857,0.157334769596308
MYS,0.979977502812148,0.292573623559539,0.112987585198215
NAM,0.96158384685984,0.175140567053475,0.104595539683485
NER,0.955160644933506,0.187886542972915,0.0799436090225564
NGA,0.97707488349011,0.0843724424335345,0.00984930441317874
NIC,0.956842105263158,0.179204599904169,0.0862878214162443
NPL,0.979217621397411,0.0859888304862024,0.119829160698888
PAK,0.988560090147469,0.0479617453676031,0.1004961907053
PER,0.949692428140029,0.192203485785919,0.136828813026012
PHL,0.930039854513962,0.164046162354608,0.00936003913950608
PNG,0.920693391115926,0.189604445897352,0.294525696044173
PRY,0.898497766950873,0.345314074571717,0.0887016263037938
RWA,0.975798797848782,0.161407590519122,0.13945147759772
SDN,0.967114267746828,0.106534986341668,0.150127011946248
SEN,0.957206960709204,0.10527407202599,0.0893293503366259
SLB,0.980694980694981,0.0814814814814815,0.256368288182403
SLE,0.981477870930006,0.0907737303908535,0.0429728331451158
SLV,0.974405029187247,0.201130856219709,0.117797778120787
SRB,0.959651035986914,0.143724696356275,0.187463870811414
SSD,0.91664939448672,0.126428492177965,0.10069164780036
STP,0.925233644859813,0.274193548387097,0.0825371257007202
SUR,0.910112359550562,0.396396396396396,0.0945715428810731
SWZ,0.964322120285423,0.234817813765182,0.095837388539397
SYR,0.973490678980674,0.0816929133858268,0.350592353554148
TCD,0.950641274776526,0.161223468877296,0.0654105719545308
TGO,0.95171909290417,0.18218085106383,0.0941489435922506
